,ALLSKY_KT,CLOUD_AMT,CLRSKY_KT,TOA_SW_DWN
198401,0.43,71.46,0.66,2.8
198402,0.39,82.41,0.69,4.35
198403,0.47,76.16,0.72,6.63
198404,0.48,77.63,0.74,8.97
198405,0.48,75.46,0.73,10.75
198406,0.48,74.04,0.73,11.52
198407,0.6,53.27,0.7,11.08
198408,0.55,58.92,0.71,9.55
198409,0.48,73.34,0.69,7.37
198410,0.41,74.38,0.68,5.04
198411,0.33,82.7,0.66,3.19
198412,0.41,70.28,0.63,2.38
198501,0.47,62.3,0.66,2.82
198502,0.45,72.49,0.7,4.37
198503,0.54,65.74,0.73,6.6
198504,0.48,77.68,0.74,8.96
198505,0.52,71.42,0.73,10.74
198506,0.54,69.65,0.73,11.52
198507,0.63,49.99,0.7,11.08
198508,0.59,55.55,0.72,9.56
198509,0.51,61.59,0.7,7.39
198510,0.4,76.94,0.7,5.06
198511,0.43,68.55,0.66,3.2
198512,0.46,63.09,0.63,2.38
198601,0.37,83.59,0.66,2.82
198602,0.45,73.76,0.69,4.35
198603,0.45,78.34,0.73,6.58
198604,0.43,82.3,0.74,8.94
198605,0.48,73.32,0.72,10.73
198606,0.51,66.94,0.73,11.51
198607,0.5,71.51,0.7,11.09
198608,0.61,43.72,0.7,9.58
198609,0.49,70.75,0.68,7.41
198610,0.45,59.73,0.65,5.08
198611,0.4,80.52,0.67,3.22
198612,0.4,69.15,0.63,2.38
198701,0.39,77.7,0.66,2.81
198702,0.46,80.53,0.69,4.33
198703,0.51,80.2,0.73,6.57
198704,0.52,77.27,0.73,8.92
198705,0.58,58.24,0.73,10.72
198706,0.59,55.02,0.73,11.51
198707,0.51,68.33,0.71,11.1
198708,0.59,49.9,0.7,9.6
198709,0.55,56.39,0.69,7.43
198710,0.55,56.66,0.68,5.09
198711,0.38,79.27,0.64,3.23
198712,0.41,76.03,0.64,2.38
198801,0.41,75.62,0.66,2.8
198802,0.46,73.23,0.69,4.36
198803,0.45,76.81,0.71,6.63
198804,0.45,76.55,0.73,8.98
198805,0.45,80.3,0.73,10.75
198806,0.5,76.66,0.71,11.52
198807,0.55,63.93,0.7,11.07
198808,0.55,60.91,0.7,9.55
198809,0.51,58.93,0.69,7.37
198810,0.34,72.31,0.66,5.04
198811,0.37,82.88,0.65,3.19
198812,0.39,71.52,0.64,2.38
198901,0.39,78.58,0.66,2.83
198902,0.49,54.48,0.69,4.37
198903,0.43,78.59,0.72,6.61
198904,0.55,69.88,0.73,8.97
198905,0.52,65.32,0.72,10.75
198906,0.55,68.16,0.73,11.52
198907,0.54,66.69,0.73,11.09
198908,0.52,64.66,0.71,9.57
198909,0.62,39.44,0.7,7.39
198910,0.45,68.36,0.67,5.06
198911,0.36,74.88,0.63,3.21
198912,0.38,71.21,0.63,2.38
199001,0.38,77.1,0.66,2.82
199002,0.48,70.52,0.7,4.36
199003,0.52,70.66,0.72,6.59
199004,0.49,70.6,0.73,8.95
199005,0.52,78.8,0.74,10.74
199006,0.47,79.94,0.72,11.52
199007,0.58,50.58,0.72,11.1
199008,0.55,63.8,0.71,9.58
199009,0.55,54.23,0.7,7.41
199010,0.41,79.15,0.7,5.08
199011,0.38,82.07,0.67,3.22
199012,0.37,76.56,0.66,2.38
199101,0.45,65.42,0.66,2.81
199102,0.49,72.9,0.7,4.34
199103,0.52,69.07,0.73,6.57
199104,0.53,64.1,0.73,8.94
199105,0.48,75.44,0.73,10.73
199106,0.48,77.44,0.74,11.52
199107,0.57,58.06,0.71,11.11
199108,0.52,57.09,0.72,9.6
199109,0.59,48.39,0.7,7.43
199110,0.52,61.18,0.67,5.09
199111,0.41,75.69,0.66,3.23
199112,0.37,77.13,0.63,2.38
199201,0.4,78.5,0.67,2.8
199202,0.46,71.21,0.69,4.36
199203,0.59,52.95,0.72,6.63
199204,0.49,78.05,0.74,8.99
199205,0.59,60.98,0.73,10.76
199206,0.56,59.4,0.72,11.52
199207,0.48,60.18,0.7,11.08
199208,0.58,48.38,0.7,9.55
199209,0.53,63.05,0.7,7.37
199210,0.4,80.27,0.69,5.04
199211,0.38,72.31,0.66,3.19
199212,0.4,71.09,0.65,2.38
199301,0.45,56.77,0.67,2.83
