-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  47.6155   Longitude -122.2917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 110.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,1984,0.46,0.39,0.52,0.52,0.52,0.48,0.6,0.57,0.51,0.4,0.34,0.47,0.51
ALLSKY_KT,1985,0.49,0.52,0.57,0.52,0.53,0.55,0.62,0.57,0.51,0.41,0.41,0.53,0.54
ALLSKY_KT,1986,0.4,0.45,0.48,0.47,0.45,0.51,0.48,0.6,0.48,0.48,0.39,0.39,0.48
ALLSKY_KT,1987,0.45,0.48,0.53,0.57,0.55,0.58,0.48,0.59,0.58,0.57,0.39,0.41,0.54
ALLSKY_KT,1988,0.45,0.5,0.48,0.45,0.45,0.51,0.56,0.55,0.53,0.4,0.38,0.4,0.48
ALLSKY_KT,1989,0.44,0.51,0.41,0.55,0.48,0.54,0.52,0.53,0.62,0.45,0.41,0.44,0.51
ALLSKY_KT,1990,0.43,0.48,0.54,0.5,0.49,0.45,0.59,0.55,0.54,0.44,0.38,0.4,0.5
ALLSKY_KT,1991,0.49,0.46,0.54,0.53,0.45,0.47,0.56,0.53,0.59,0.53,0.39,0.44,0.51
ALLSKY_KT,1992,0.42,0.48,0.59,0.49,0.6,0.52,0.51,0.59,0.55,0.43,0.41,0.45,0.52
ALLSKY_KT,1993,0.49,0.53,0.5,0.47,0.46,0.46,0.43,0.52,0.63,0.48,0.52,0.38,0.49
ALLSKY_KT,1994,0.48,0.4,0.52,0.48,0.5,0.49,0.6,0.54,0.55,0.5,0.43,0.45,0.51
ALLSKY_KT,1995,0.49,0.47,0.51,0.55,0.58,0.51,0.54,0.48,0.53,0.45,0.36,0.38,0.51
ALLSKY_KT,1996,0.44,0.47,0.52,0.42,0.48,0.55,0.61,0.57,0.49,0.45,0.4,0.4,0.51
ALLSKY_KT,1997,0.46,0.51,0.45,0.52,0.55,0.53,0.6,0.59,0.52,0.43,0.45,0.45,0.52
ALLSKY_KT,1998,0.45,0.45,0.5,0.58,0.49,0.54,0.55,0.64,0.65,0.45,0.41,0.39,0.54
ALLSKY_KT,1999,0.32,0.39,0.48,0.56,0.55,0.51,0.57,0.55,0.63,0.5,0.38,0.41,0.52
ALLSKY_KT,2000,0.45,0.48,0.5,0.55,0.52,0.54,0.55,0.59,0.52,0.48,0.45,0.45,0.52
ALLSKY_KT,2001,0.38,0.51,0.43,0.44,0.54,0.47,0.55,0.52,0.54,0.41,0.33,0.35,0.48
ALLSKY_KT,2002,0.3,0.44,0.38,0.46,0.46,0.53,0.56,0.61,0.58,0.51,0.41,0.3,0.49
ALLSKY_KT,2003,0.36,0.48,0.38,0.41,0.48,0.55,0.64,0.6,0.56,0.41,0.41,0.31,0.5
ALLSKY_KT,2004,0.3,0.41,0.45,0.58,0.43,0.56,0.57,0.53,0.48,0.45,0.38,0.34,0.49
ALLSKY_KT,2005,0.36,0.59,0.45,0.44,0.45,0.45,0.57,0.61,0.56,0.38,0.34,0.36,0.48
ALLSKY_KT,2006,0.27,0.46,0.43,0.48,0.52,0.52,0.58,0.61,0.59,0.51,0.28,0.33,0.5
ALLSKY_KT,2007,0.41,0.36,0.38,0.45,0.54,0.48,0.55,0.52,0.5,0.4,0.4,0.3,0.47
ALLSKY_KT,2008,0.39,0.41,0.4,0.45,0.43,0.46,0.56,0.5,0.57,0.45,0.34,0.33,0.46
ALLSKY_KT,2009,0.41,0.45,0.42,0.49,0.53,0.52,0.6,0.51,0.55,0.41,0.34,0.45,0.5
ALLSKY_KT,2010,0.3,0.43,0.45,0.41,0.45,0.44,0.59,0.55,0.44,0.46,0.34,0.34,0.46
ALLSKY_KT,2011,0.33,0.39,0.36,0.42,0.44,0.45,0.52,0.58,0.55,0.41,0.37,0.38,0.45
ALLSKY_KT,2012,0.3,0.38,0.38,0.45,0.5,0.41,0.52,0.59,0.62,0.45,0.34,0.27,0.47
ALLSKY_KT,2013,0.38,0.36,0.43,0.44,0.47,0.49,0.62,0.52,0.44,0.5,0.4,0.38,0.48
ALLSKY_KT,2014,0.38,0.4,0.41,0.48,0.48,0.49,0.6,0.57,0.55,0.41,0.43,0.38,0.49
ALLSKY_KT,2015,0.4,0.43,0.46,0.52,0.51,0.62,0.59,0.57,0.52,0.41,0.41,0.28,0.52
ALLSKY_KT,2016,0.37,0.38,0.42,0.52,0.51,0.53,0.51,0.6,0.55,0.34,0.33,0.37,0.48
ALLSKY_KT,2017,0.43,0.38,0.34,0.41,0.52,0.52,0.65,0.62,0.52,0.52,0.28,0.41,0.49
ALLSKY_KT,2018,0.3,0.43,0.46,0.41,0.54,0.48,0.62,0.54,0.53,0.48,0.41,0.34,0.49
ALLSKY_KT,2019,0.41,0.4,0.56,0.45,0.52,0.53,0.49,0.54,0.44,0.48,0.47,0.27,0.48
ALLSKY_KT,2020,0.28,0.44,0.48,0.52,0.48,0.48,0.56,0.62,0.5,0.48,0.36,0.37,0.5
