,number,value,datetime_start,datetime_complete,duration,params_D,params_P,params_Q,params_d,params_p,params_q,state
0,0,0.7195490029735094,2022-03-13 17:37:04.154962,2022-03-13 17:37:10.334389,0 days 00:00:06.179427,1,1,1,0,2,5,COMPLETE
1,1,0.7016701288495852,2022-03-13 17:37:10.335768,2022-03-13 17:37:12.988307,0 days 00:00:02.652539,0,3,2,0,1,2,COMPLETE
2,2,0.6409378343973089,2022-03-13 17:37:12.989431,2022-03-13 17:37:22.386715,0 days 00:00:09.397284,0,3,2,1,1,4,COMPLETE
3,3,0.7226834663928776,2022-03-13 17:37:22.388169,2022-03-13 17:37:42.006645,0 days 00:00:19.618476,1,2,2,0,7,5,COMPLETE
4,4,0.7164529919077868,2022-03-13 17:37:42.008079,2022-03-13 17:37:55.387755,0 days 00:00:13.379676,1,3,3,0,1,6,COMPLETE
5,5,0.5179721776061192,2022-03-13 17:37:55.388849,2022-03-13 17:37:58.071733,0 days 00:00:02.682884,1,2,0,1,1,6,COMPLETE
6,6,0.7210522666553701,2022-03-13 17:37:58.072681,2022-03-13 17:38:04.827333,0 days 00:00:06.754652,1,1,3,0,5,6,COMPLETE
7,7,0.7211304562167622,2022-03-13 17:38:04.828536,2022-03-13 17:38:09.153463,0 days 00:00:04.324927,1,2,3,0,6,0,COMPLETE
8,8,0.6251675436789352,2022-03-13 17:38:09.154414,2022-03-13 17:38:34.064771,0 days 00:00:24.910357,1,2,1,1,8,7,COMPLETE
9,9,0.638261396517048,2022-03-13 17:38:34.066137,2022-03-13 17:38:46.457965,0 days 00:00:12.391828,1,1,3,1,3,4,COMPLETE
10,10,0.5232648925484136,2022-03-13 17:38:46.458895,2022-03-13 17:38:47.658225,0 days 00:00:01.199330,0,0,0,0,8,8,COMPLETE
11,11,0.7163835133539743,2022-03-13 17:38:47.659128,2022-03-13 17:38:53.835582,0 days 00:00:06.176454,1,2,2,0,6,0,COMPLETE
12,12,0.7209076079149072,2022-03-13 17:38:53.836806,2022-03-13 17:38:59.377581,0 days 00:00:05.540775,1,2,3,0,6,2,COMPLETE
13,13,0.7239177063399048,2022-03-13 17:38:59.378640,2022-03-13 17:39:01.401964,0 days 00:00:02.023324,1,0,2,0,6,0,COMPLETE
14,14,-2.488233455011165,2022-03-13 17:39:01.403159,2022-03-13 17:39:02.052088,0 days 00:00:00.648929,0,0,1,0,7,2,COMPLETE
15,15,0.7247317602913947,2022-03-13 17:39:02.053033,2022-03-13 17:39:05.835380,0 days 00:00:03.782347,1,0,2,0,4,3,COMPLETE
16,16,0.7247200355699137,2022-03-13 17:39:05.836372,2022-03-13 17:39:07.841488,0 days 00:00:02.005116,1,0,2,0,4,1,COMPLETE
17,17,0.11824581270695877,2022-03-13 17:39:07.842598,2022-03-13 17:39:11.387876,0 days 00:00:03.545278,0,0,1,1,4,3,COMPLETE
18,18,0.7219449317347838,2022-03-13 17:39:11.388862,2022-03-13 17:39:13.689587,0 days 00:00:02.300725,1,1,2,0,4,1,COMPLETE
19,19,0.7118400796464217,2022-03-13 17:39:13.690855,2022-03-13 17:39:15.327578,0 days 00:00:01.636723,1,0,1,0,3,3,COMPLETE
20,20,0.1765451171121385,2022-03-13 17:39:15.328569,2022-03-13 17:39:17.905762,0 days 00:00:02.577193,0,0,2,1,3,1,COMPLETE
21,21,0.7231322599709984,2022-03-13 17:39:17.906923,2022-03-13 17:39:20.080404,0 days 00:00:02.173481,1,0,2,0,5,1,COMPLETE
22,22,0.7227982389945167,2022-03-13 17:39:20.081529,2022-03-13 17:39:21.821491,0 days 00:00:01.739962,1,0,2,0,5,0,COMPLETE
23,23,0.7209890195204121,2022-03-13 17:39:21.822707,2022-03-13 17:39:25.215376,0 days 00:00:03.392669,1,1,2,0,4,3,COMPLETE
24,24,0.7280333193315943,2022-03-13 17:39:25.216570,2022-03-13 17:39:26.363744,0 days 00:00:01.147174,1,0,1,0,4,1,COMPLETE
25,25,0.4623941272271138,2022-03-13 17:39:26.364941,2022-03-13 17:39:26.711716,0 days 00:00:00.346775,1,1,0,0,2,2,COMPLETE
26,26,0.7287807951575507,2022-03-13 17:39:26.712755,2022-03-13 17:39:28.191034,0 days 00:00:01.478279,1,0,1,0,3,1,COMPLETE
27,27,0.7269820839926777,2022-03-13 17:39:28.192233,2022-03-13 17:39:29.188333,0 days 00:00:00.996100,1,0,1,0,0,3,COMPLETE
28,28,0.7194943471384571,2022-03-13 17:39:29.189553,2022-03-13 17:39:30.133538,0 days 00:00:00.943985,1,1,1,0,0,1,COMPLETE
29,29,0.4608746393265116,2022-03-13 17:39:30.134706,2022-03-13 17:39:30.487776,0 days 00:00:00.353070,1,1,0,0,0,5,COMPLETE
30,30,0.7275686725302757,2022-03-13 17:39:30.488885,2022-03-13 17:39:31.796623,0 days 00:00:01.307738,1,0,1,0,3,2,COMPLETE
31,31,0.727755601032222,2022-03-13 17:39:31.797747,2022-03-13 17:39:32.938139,0 days 00:00:01.140392,1,0,1,0,2,2,COMPLETE
32,32,0.727755601032222,2022-03-13 17:39:32.939293,2022-03-13 17:39:34.088808,0 days 00:00:01.149515,1,0,1,0,2,2,COMPLETE
33,33,0.727755601032222,2022-03-13 17:39:34.089742,2022-03-13 17:39:35.236421,0 days 00:00:01.146679,1,0,1,0,2,2,COMPLETE
34,34,0.731353475789547,2022-03-13 17:39:35.237365,2022-03-13 17:39:37.290064,0 days 00:00:02.052699,1,0,1,0,2,1,COMPLETE
35,35,0.20381503021519287,2022-03-13 17:39:37.291217,2022-03-13 17:39:37.538721,0 days 00:00:00.247504,0,1,0,0,2,1,COMPLETE
